Category,Industry,Profession,Occupation,Race,Employed,Percent
Production and transportation,Production,Production,"Model makers and patternmakers, metal and plastic",White,,0
Production and transportation,Production,Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",White,,0
Production and transportation,Production,Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",White,,0
Production and transportation,Production,Production,Tool and die makers,White,52,0.04
Production and transportation,Production,Production,"Welding, soldering, and brazing workers",White,504,0.42
Production and transportation,Production,Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",White,,0
Production and transportation,Production,Production,"Layout workers, metal and plastic",White,,0
Production and transportation,Production,Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",White,,0
Production and transportation,Production,Production,"Tool grinders, filers, and sharpeners",White,,0
Production and transportation,Production,Production,"Metal workers and plastic workers, all other",White,282,0.24
Production and transportation,Production,Production,Prepress technicians and workers,White,,0
Production and transportation,Production,Production,Printing press operators,White,112,0.09
Production and transportation,Production,Production,Print binding and finishing workers,White,,0
Production and transportation,Production,Production,Laundry and dry-cleaning workers,White,74,0.06
Production and transportation,Production,Production,"Pressers, textile, garment, and related materials",White,,0
Production and transportation,Production,Production,Sewing machine operators,White,124,0.1
Production and transportation,Production,Production,Shoe and leather workers and repairers,White,,0
Production and transportation,Production,Production,Shoe machine operators and tenders,White,,0
Production and transportation,Production,Production,"Tailors, dressmakers, and sewers",White,57,0.05
Production and transportation,Production,Production,Textile bleaching and dyeing machine operators and tenders,White,,0
Production and transportation,Production,Production,"Textile cutting machine setters, operators, and tenders",White,,0
Production and transportation,Production,Production,"Textile knitting and weaving machine setters, operators, and tenders",White,,0
Production and transportation,Production,Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",White,,0
Production and transportation,Production,Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",White,,0
Production and transportation,Production,Production,Fabric and apparel patternmakers,White,,0
Production and transportation,Production,Production,Upholsterers,White,,0
Production and transportation,Production,Production,"Textile, apparel, and furnishings workers, all other",White,,0
Production and transportation,Production,Production,Cabinetmakers and bench carpenters,White,57,0.05
Production and transportation,Production,Production,Furniture finishers,White,,0
Production and transportation,Production,Production,"Model makers and patternmakers, wood",White,,0
Production and transportation,Production,Production,"Sawing machine setters, operators, and tenders, wood",White,,0
Production and transportation,Production,Production,"Woodworking machine setters, operators, and tenders, except sawing",White,,0
Production and transportation,Production,Production,"Woodworkers, all other",White,,0
Production and transportation,Production,Production,"Power plant operators, distributors, and dispatchers",White,,0
Production and transportation,Production,Production,Stationary engineers and boiler operators,White,43,0.04
Production and transportation,Production,Production,Water and wastewater treatment plant and system operators,White,93,0.08
Production and transportation,Production,Production,Miscellaneous plant and system operators,White,42,0.04
Production and transportation,Production,Production,"Chemical processing machine setters, operators, and tenders",White,63,0.05
Production and transportation,Production,Production,"Crushing, grinding, polishing, mixing, and blending workers",White,72,0.06
Production and transportation,Production,Production,Cutting workers,White,46,0.04
Production and transportation,Production,Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",White,,0
Production and transportation,Production,Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",White,,0
Production and transportation,Production,Production,"Inspectors, testers, sorters, samplers, and weighers",White,622,0.52
Production and transportation,Production,Production,Jewelers and precious stone and metal workers,White,,0
Production and transportation,Production,Production,"Medical, dental, and ophthalmic laboratory technicians",White,74,0.06
Production and transportation,Production,Production,Packaging and filling machine operators and tenders,White,180,0.15
Production and transportation,Production,Production,Painting workers,White,139,0.12
Production and transportation,Production,Production,Photographic process workers and processing machine operators,White,,0
Production and transportation,Production,Production,Semiconductor processors,White,,0
Production and transportation,Production,Production,Adhesive bonding machine operators and tenders,White,,0
Production and transportation,Production,Production,"Cleaning, washing, and metal pickling equipment operators and tenders",White,,0
Production and transportation,Production,Production,Cooling and freezing equipment operators and tenders,White,,0
Production and transportation,Production,Production,Etchers and engravers,White,,0
Production and transportation,Production,Production,"Molders, shapers, and casters, except metal and plastic",White,,0
Production and transportation,Production,Production,"Paper goods machine setters, operators, and tenders",White,,0
Production and transportation,Production,Production,Tire builders,White,,0
Production and transportation,Production,Production,Helpers--production workers,White,40,0.03
Production and transportation,Production,Production,"Production workers, all other",White,842,0.71
Production and transportation,Production,Production,First-line supervisors of production and operating workers,Black,102,0.54
Production and transportation,Production,Production,"Aircraft structure, surfaces, rigging, and systems assemblers",Black,,0
Production and transportation,Production,Production,"Electrical, electronics, and electromechanical assemblers",Black,8,0.04
Production and transportation,Production,Production,Engine and other machine assemblers,Black,,0
Production and transportation,Production,Production,Structural metal fabricators and fitters,Black,,0
Production and transportation,Production,Production,Miscellaneous assemblers and fabricators,Black,197,1.05
Production and transportation,Production,Production,Bakers,Black,26,0.14
Production and transportation,Production,Production,"Butchers and other meat, poultry, and fish processing workers",Black,50,0.27
Production and transportation,Production,Production,"Food and tobacco roasting, baking, and drying machine operators and tenders",Black,,0
Production and transportation,Production,Production,Food batchmakers,Black,5,0.03
Production and transportation,Production,Production,Food cooking machine operators and tenders,Black,,0
Production and transportation,Production,Production,"Food processing workers, all other",Black,26,0.14
Production and transportation,Production,Production,Computer control programmers and operators,Black,7,0.04
Production and transportation,Production,Production,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Forging machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Rolling machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Black,12,0.06
Production and transportation,Production,Production,"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",Black,,0
Production and transportation,Production,Production,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Milling and planing machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,Machinists,Black,26,0.14
Production and transportation,Production,Production,"Metal furnace operators, tenders, pourers, and casters",Black,,0
Production and transportation,Production,Production,"Model makers and patternmakers, metal and plastic",Black,,0
Production and transportation,Production,Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,Tool and die makers,Black,2,0.01
Production and transportation,Production,Production,"Welding, soldering, and brazing workers",Black,52,0.28
Production and transportation,Production,Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Layout workers, metal and plastic",Black,,0
Production and transportation,Production,Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",Black,,0
Production and transportation,Production,Production,"Tool grinders, filers, and sharpeners",Black,,0
Production and transportation,Production,Production,"Metal workers and plastic workers, all other",Black,56,0.3
Production and transportation,Production,Production,Prepress technicians and workers,Black,,0
Production and transportation,Production,Production,Printing press operators,Black,9,0.05
Production and transportation,Production,Production,Print binding and finishing workers,Black,,0
Production and transportation,Production,Production,Laundry and dry-cleaning workers,Black,33,0.18
Production and transportation,Production,Production,"Pressers, textile, garment, and related materials",Black,,0
Production and transportation,Production,Production,Sewing machine operators,Black,19,0.1
Production and transportation,Production,Production,Shoe and leather workers and repairers,Black,,0
Production and transportation,Production,Production,Shoe machine operators and tenders,Black,,0
Production and transportation,Production,Production,"Tailors, dressmakers, and sewers",Black,8,0.04
Production and transportation,Production,Production,Textile bleaching and dyeing machine operators and tenders,Black,,0
Production and transportation,Production,Production,"Textile cutting machine setters, operators, and tenders",Black,,0
Production and transportation,Production,Production,"Textile knitting and weaving machine setters, operators, and tenders",Black,,0
Production and transportation,Production,Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Black,,0
Production and transportation,Production,Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Black,,0
Production and transportation,Production,Production,Fabric and apparel patternmakers,Black,,0
Production and transportation,Production,Production,Upholsterers,Black,,0
Production and transportation,Production,Production,"Textile, apparel, and furnishings workers, all other",Black,,0
Production and transportation,Production,Production,Cabinetmakers and bench carpenters,Black,5,0.03
Production and transportation,Production,Production,Furniture finishers,Black,,0
Production and transportation,Production,Production,"Model makers and patternmakers, wood",Black,,0
Production and transportation,Production,Production,"Sawing machine setters, operators, and tenders, wood",Black,,0
Production and transportation,Production,Production,"Woodworking machine setters, operators, and tenders, except sawing",Black,,0
Production and transportation,Production,Production,"Woodworkers, all other",Black,,0
Production and transportation,Production,Production,"Power plant operators, distributors, and dispatchers",Black,,0
Production and transportation,Production,Production,Stationary engineers and boiler operators,Black,2,0.01
Production and transportation,Production,Production,Water and wastewater treatment plant and system operators,Black,9,0.05
Production and transportation,Production,Production,Miscellaneous plant and system operators,Black,5,0.03
Production and transportation,Production,Production,"Chemical processing machine setters, operators, and tenders",Black,8,0.04
Production and transportation,Production,Production,"Crushing, grinding, polishing, mixing, and blending workers",Black,10,0.05
Production and transportation,Production,Production,Cutting workers,Black,11,0.06
Production and transportation,Production,Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Black,,0
Production and transportation,Production,Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",Black,,0
Production and transportation,Production,Production,"Inspectors, testers, sorters, samplers, and weighers",Black,92,0.49
Production and transportation,Production,Production,Jewelers and precious stone and metal workers,Black,,0
Production and transportation,Production,Production,"Medical, dental, and ophthalmic laboratory technicians",Black,4,0.02
Production and transportation,Production,Production,Packaging and filling machine operators and tenders,Black,53,0.28
Production and transportation,Production,Production,Painting workers,Black,22,0.12
Production and transportation,Production,Production,Photographic process workers and processing machine operators,Black,,0
Production and transportation,Production,Production,Semiconductor processors,Black,,0
Production and transportation,Production,Production,Adhesive bonding machine operators and tenders,Black,,0
Production and transportation,Production,Production,"Cleaning, washing, and metal pickling equipment operators and tenders",Black,,0
Production and transportation,Production,Production,Cooling and freezing equipment operators and tenders,Black,,0
Production and transportation,Production,Production,Etchers and engravers,Black,,0
Production and transportation,Production,Production,"Molders, shapers, and casters, except metal and plastic",Black,,0
Production and transportation,Production,Production,"Paper goods machine setters, operators, and tenders",Black,,0
Production and transportation,Production,Production,Tire builders,Black,,0
Production and transportation,Production,Production,Helpers--production workers,Black,9,0.05
Production and transportation,Production,Production,"Production workers, all other",Black,183,0.97
Production and transportation,Production,Production,First-line supervisors of production and operating workers,Asian,32,0.33
Production and transportation,Production,Production,"Aircraft structure, surfaces, rigging, and systems assemblers",Asian,,0
Production and transportation,Production,Production,"Electrical, electronics, and electromechanical assemblers",Asian,20,0.2
Production and transportation,Production,Production,Engine and other machine assemblers,Asian,,0
Production and transportation,Production,Production,Structural metal fabricators and fitters,Asian,,0
Production and transportation,Production,Production,Miscellaneous assemblers and fabricators,Asian,96,0.98
Production and transportation,Production,Production,Bakers,Asian,21,0.21
Production and transportation,Production,Production,"Butchers and other meat, poultry, and fish processing workers",Asian,18,0.18
Production and transportation,Production,Production,"Food and tobacco roasting, baking, and drying machine operators and tenders",Asian,,0
Production and transportation,Production,Production,Food batchmakers,Asian,1,0.01
Production and transportation,Production,Production,Food cooking machine operators and tenders,Asian,,0
Production and transportation,Production,Production,"Food processing workers, all other",Asian,10,0.1
Production and transportation,Production,Production,Computer control programmers and operators,Asian,5,0.05
Production and transportation,Production,Production,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Forging machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Rolling machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Asian,0,0
Production and transportation,Production,Production,"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",Asian,,0
Production and transportation,Production,Production,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Milling and planing machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,Machinists,Asian,18,0.18
Production and transportation,Production,Production,"Metal furnace operators, tenders, pourers, and casters",Asian,,0
Production and transportation,Production,Production,"Model makers and patternmakers, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,Tool and die makers,Asian,0,0
Production and transportation,Production,Production,"Welding, soldering, and brazing workers",Asian,13,0.13
Production and transportation,Production,Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Layout workers, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",Asian,,0
Production and transportation,Production,Production,"Tool grinders, filers, and sharpeners",Asian,,0
Production and transportation,Production,Production,"Metal workers and plastic workers, all other",Asian,32,0.33
Production and transportation,Production,Production,Prepress technicians and workers,Asian,,0
Production and transportation,Production,Production,Printing press operators,Asian,5,0.05
Production and transportation,Production,Production,Print binding and finishing workers,Asian,,0
Production and transportation,Production,Production,Laundry and dry-cleaning workers,Asian,16,0.16
Production and transportation,Production,Production,"Pressers, textile, garment, and related materials",Asian,,0
Production and transportation,Production,Production,Sewing machine operators,Asian,27,0.27
Production and transportation,Production,Production,Shoe and leather workers and repairers,Asian,,0
Production and transportation,Production,Production,Shoe machine operators and tenders,Asian,,0
Production and transportation,Production,Production,"Tailors, dressmakers, and sewers",Asian,20,0.2
Production and transportation,Production,Production,Textile bleaching and dyeing machine operators and tenders,Asian,,0
Production and transportation,Production,Production,"Textile cutting machine setters, operators, and tenders",Asian,,0
Production and transportation,Production,Production,"Textile knitting and weaving machine setters, operators, and tenders",Asian,,0
Production and transportation,Production,Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Asian,,0
Production and transportation,Production,Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Asian,,0
Production and transportation,Production,Production,Fabric and apparel patternmakers,Asian,,0
Production and transportation,Production,Production,Upholsterers,Asian,,0
Production and transportation,Production,Production,"Textile, apparel, and furnishings workers, all other",Asian,,0
Production and transportation,Production,Production,Cabinetmakers and bench carpenters,Asian,0,0
Production and transportation,Production,Production,Furniture finishers,Asian,,0
Production and transportation,Production,Production,"Model makers and patternmakers, wood",Asian,,0
Production and transportation,Production,Production,"Sawing machine setters, operators, and tenders, wood",Asian,,0
Production and transportation,Production,Production,"Woodworking machine setters, operators, and tenders, except sawing",Asian,,0
Production and transportation,Production,Production,"Woodworkers, all other",Asian,,0
Production and transportation,Production,Production,"Power plant operators, distributors, and dispatchers",Asian,,0
Production and transportation,Production,Production,Stationary engineers and boiler operators,Asian,2,0.02
Production and transportation,Production,Production,Water and wastewater treatment plant and system operators,Asian,3,0.03
Production and transportation,Production,Production,Miscellaneous plant and system operators,Asian,1,0.01
Production and transportation,Production,Production,"Chemical processing machine setters, operators, and tenders",Asian,0,0
Production and transportation,Production,Production,"Crushing, grinding, polishing, mixing, and blending workers",Asian,1,0.01
Production and transportation,Production,Production,Cutting workers,Asian,1,0.01
Production and transportation,Production,Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Asian,,0
Production and transportation,Production,Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",Asian,,0
Production and transportation,Production,Production,"Inspectors, testers, sorters, samplers, and weighers",Asian,43,0.44
Production and transportation,Production,Production,Jewelers and precious stone and metal workers,Asian,,0
Production and transportation,Production,Production,"Medical, dental, and ophthalmic laboratory technicians",Asian,9,0.09
Production and transportation,Production,Production,Packaging and filling machine operators and tenders,Asian,16,0.16
Production and transportation,Production,Production,Painting workers,Asian,3,0.03
Production and transportation,Production,Production,Photographic process workers and processing machine operators,Asian,,0
Production and transportation,Production,Production,Semiconductor processors,Asian,,0
Production and transportation,Production,Production,Adhesive bonding machine operators and tenders,Asian,,0
Production and transportation,Production,Production,"Cleaning, washing, and metal pickling equipment operators and tenders",Asian,,0
Production and transportation,Production,Production,Cooling and freezing equipment operators and tenders,Asian,,0
Production and transportation,Production,Production,Etchers and engravers,Asian,,0
Production and transportation,Production,Production,"Molders, shapers, and casters, except metal and plastic",Asian,,0
Production and transportation,Production,Production,"Paper goods machine setters, operators, and tenders",Asian,,0
Production and transportation,Production,Production,Tire builders,Asian,,0
Production and transportation,Production,Production,Helpers--production workers,Asian,2,0.02
Production and transportation,Production,Production,"Production workers, all other",Asian,65,0.66
Production and transportation,Production,Production,First-line supervisors of production and operating workers,Hispanic,145,0.54
Production and transportation,Production,Production,"Aircraft structure, surfaces, rigging, and systems assemblers",Hispanic,,0
Production and transportation,Production,Production,"Electrical, electronics, and electromechanical assemblers",Hispanic,20,0.07
Production and transportation,Production,Production,Engine and other machine assemblers,Hispanic,,0
Production and transportation,Production,Production,Structural metal fabricators and fitters,Hispanic,,0
Production and transportation,Production,Production,Miscellaneous assemblers and fabricators,Hispanic,217,0.8
Production and transportation,Production,Production,Bakers,Hispanic,69,0.26
Production and transportation,Production,Production,"Butchers and other meat, poultry, and fish processing workers",Hispanic,110,0.41
Production and transportation,Production,Production,"Food and tobacco roasting, baking, and drying machine operators and tenders",Hispanic,,0
Production and transportation,Production,Production,Food batchmakers,Hispanic,29,0.11
Production and transportation,Production,Production,Food cooking machine operators and tenders,Hispanic,,0
Production and transportation,Production,Production,"Food processing workers, all other",Hispanic,57,0.21
Production and transportation,Production,Production,Computer control programmers and operators,Hispanic,12,0.04
Production and transportation,Production,Production,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Forging machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Rolling machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Hispanic,9,0.03
Production and transportation,Production,Production,"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",Hispanic,,0
Production and transportation,Production,Production,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Milling and planing machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,Machinists,Hispanic,43,0.16
Production and transportation,Production,Production,"Metal furnace operators, tenders, pourers, and casters",Hispanic,,0
Production and transportation,Production,Production,"Model makers and patternmakers, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,Tool and die makers,Hispanic,1,0
Production and transportation,Production,Production,"Welding, soldering, and brazing workers",Hispanic,134,0.5
Production and transportation,Production,Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Layout workers, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Tool grinders, filers, and sharpeners",Hispanic,,0
Production and transportation,Production,Production,"Metal workers and plastic workers, all other",Hispanic,101,0.37
Production and transportation,Production,Production,Prepress technicians and workers,Hispanic,,0
Production and transportation,Production,Production,Printing press operators,Hispanic,30,0.11
Production and transportation,Production,Production,Print binding and finishing workers,Hispanic,,0
Production and transportation,Production,Production,Laundry and dry-cleaning workers,Hispanic,50,0.19
Production and transportation,Production,Production,"Pressers, textile, garment, and related materials",Hispanic,,0
Production and transportation,Production,Production,Sewing machine operators,Hispanic,63,0.23
Production and transportation,Production,Production,Shoe and leather workers and repairers,Hispanic,,0
Production and transportation,Production,Production,Shoe machine operators and tenders,Hispanic,,0
Production and transportation,Production,Production,"Tailors, dressmakers, and sewers",Hispanic,17,0.06
Production and transportation,Production,Production,Textile bleaching and dyeing machine operators and tenders,Hispanic,,0
Production and transportation,Production,Production,"Textile cutting machine setters, operators, and tenders",Hispanic,,0
Production and transportation,Production,Production,"Textile knitting and weaving machine setters, operators, and tenders",Hispanic,,0
Production and transportation,Production,Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Hispanic,,0
Production and transportation,Production,Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Hispanic,,0
Production and transportation,Production,Production,Fabric and apparel patternmakers,Hispanic,,0
Production and transportation,Production,Production,Upholsterers,Hispanic,,0
Production and transportation,Production,Production,"Textile, apparel, and furnishings workers, all other",Hispanic,,0
Production and transportation,Production,Production,Cabinetmakers and bench carpenters,Hispanic,13,0.05
Production and transportation,Production,Production,Furniture finishers,Hispanic,,0
Production and transportation,Production,Production,"Model makers and patternmakers, wood",Hispanic,,0
Production and transportation,Production,Production,"Sawing machine setters, operators, and tenders, wood",Hispanic,,0
Production and transportation,Production,Production,"Woodworking machine setters, operators, and tenders, except sawing",Hispanic,,0
Production and transportation,Production,Production,"Woodworkers, all other",Hispanic,,0
Production and transportation,Production,Production,"Power plant operators, distributors, and dispatchers",Hispanic,,0
Production and transportation,Production,Production,Stationary engineers and boiler operators,Hispanic,5,0.02
Production and transportation,Production,Production,Water and wastewater treatment plant and system operators,Hispanic,10,0.04
Production and transportation,Production,Production,Miscellaneous plant and system operators,Hispanic,7,0.03
Production and transportation,Production,Production,"Chemical processing machine setters, operators, and tenders",Hispanic,5,0.02
Production and transportation,Production,Production,"Crushing, grinding, polishing, mixing, and blending workers",Hispanic,23,0.09
Production and transportation,Production,Production,Cutting workers,Hispanic,15,0.06
Production and transportation,Production,Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Hispanic,,0
Production and transportation,Production,Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",Hispanic,,0
Production and transportation,Production,Production,"Inspectors, testers, sorters, samplers, and weighers",Hispanic,140,0.52
Production and transportation,Production,Production,Jewelers and precious stone and metal workers,Hispanic,,0
Production and transportation,Production,Production,"Medical, dental, and ophthalmic laboratory technicians",Hispanic,16,0.06
Production and transportation,Production,Production,Packaging and filling machine operators and tenders,Hispanic,97,0.36
Production and transportation,Production,Production,Painting workers,Hispanic,71,0.26
Production and transportation,Production,Production,Photographic process workers and processing machine operators,Hispanic,,0
Production and transportation,Production,Production,Semiconductor processors,Hispanic,,0
Production and transportation,Production,Production,Adhesive bonding machine operators and tenders,Hispanic,,0
Production and transportation,Production,Production,"Cleaning, washing, and metal pickling equipment operators and tenders",Hispanic,,0
Production and transportation,Production,Production,Cooling and freezing equipment operators and tenders,Hispanic,,0
Production and transportation,Production,Production,Etchers and engravers,Hispanic,,0
Production and transportation,Production,Production,"Molders, shapers, and casters, except metal and plastic",Hispanic,,0
Production and transportation,Production,Production,"Paper goods machine setters, operators, and tenders",Hispanic,,0
Production and transportation,Production,Production,Tire builders,Hispanic,,0
Production and transportation,Production,Production,Helpers--production workers,Hispanic,16,0.06
Production and transportation,Production,Production,"Production workers, all other",Hispanic,280,1.04
Management and professional,Professional,Computer and mathematical occupations,Computer and information research scientists,White,,0
Management and professional,Professional,Computer and mathematical occupations,Computer systems analysts,White,449,0.38
Management and professional,Professional,Computer and mathematical occupations,Information security analysts,White,93,0.08
Management and professional,Professional,Computer and mathematical occupations,Computer programmers,White,307,0.26
Management and professional,Professional,Computer and mathematical occupations,"Software developers, applications and systems software",White,980,0.82
Management and professional,Professional,Computer and mathematical occupations,Web developers,White,149,0.13
Management and professional,Professional,Computer and mathematical occupations,Computer support specialists,White,405,0.34
Management and professional,Professional,Computer and mathematical occupations,Database administrators,White,76,0.06
Management and professional,Professional,Computer and mathematical occupations,Network and computer systems administrators,White,153,0.13
Management and professional,Professional,Computer and mathematical occupations,Computer network architects,White,80,0.07
Management and professional,Professional,Computer and mathematical occupations,"Computer occupations, all other",White,569,0.48
Management and professional,Professional,Computer and mathematical occupations,Actuaries,White,,0
Management and professional,Professional,Computer and mathematical occupations,Mathematicians,White,,0
Management and professional,Professional,Computer and mathematical occupations,Operations research analysts,White,122,0.1
Management and professional,Professional,Computer and mathematical occupations,Statisticians,White,70,0.06
Management and professional,Professional,Computer and mathematical occupations,Miscellaneous mathematical science occupations,White,,0
Management and professional,Professional,Architecture and engineering occupations,"Architects, except naval",White,171,0.14
Management and professional,Professional,Architecture and engineering occupations,"Surveyors, cartographers, and photogrammetrists",White,,0
Management and professional,Professional,Architecture and engineering occupations,Aerospace engineers,White,104,0.09
Management and professional,Professional,Architecture and engineering occupations,Agricultural engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,Biomedical engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,Chemical engineers,White,65,0.05
Management and professional,Professional,Architecture and engineering occupations,Civil engineers,White,381,0.32
Management and professional,Professional,Architecture and engineering occupations,Computer hardware engineers,White,41,0.03
Management and professional,Professional,Architecture and engineering occupations,Electrical and electronics engineers,White,203,0.17
Management and professional,Professional,Architecture and engineering occupations,Environmental engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,"Industrial engineers, including health and safety",White,197,0.17
Management and professional,Professional,Architecture and engineering occupations,Marine engineers and naval architects,White,,0
Management and professional,Professional,Architecture and engineering occupations,Materials engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,Mechanical engineers,White,282,0.24
Management and professional,Professional,Architecture and engineering occupations,"Mining and geological engineers, including mining safety engineers",White,,0
Management and professional,Professional,Architecture and engineering occupations,Nuclear engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,Petroleum engineers,White,,0
Management and professional,Professional,Architecture and engineering occupations,"Engineers, all other",White,417,0.35
Management and professional,Professional,Architecture and engineering occupations,Drafters,White,102,0.09
Management and professional,Professional,Architecture and engineering occupations,"Engineering technicians, except drafters",White,379,0.32
Management and professional,Professional,Architecture and engineering occupations,Surveying and mapping technicians,White,45,0.04
Management and professional,Professional,"Life, physical, and social science occupations",Agricultural and food scientists,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Biological scientists,White,84,0.07
Management and professional,Professional,"Life, physical, and social science occupations",Conservation scientists and foresters,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Medical scientists,White,108,0.09
Management and professional,Professional,"Life, physical, and social science occupations","Life scientists, all other",White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Astronomers and physicists,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Atmospheric and space scientists,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Chemists and materials scientists,White,73,0.06
Management and professional,Professional,"Life, physical, and social science occupations",Environmental scientists and geoscientists,White,101,0.08
Management and professional,Professional,"Life, physical, and social science occupations","Physical scientists, all other",White,203,0.17
Management and professional,Professional,"Life, physical, and social science occupations",Economists,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Survey researchers,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Psychologists,White,210,0.18
Management and professional,Professional,"Life, physical, and social science occupations",Sociologists,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Urban and regional planners,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Miscellaneous social scientists and related workers,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Agricultural and food science technicians,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Biological technicians,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Chemical technicians,White,44,0.04
Management and professional,Professional,"Life, physical, and social science occupations",Geological and petroleum technicians,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Nuclear technicians,White,,0
Management and professional,Professional,"Life, physical, and social science occupations",Social science research assistants,White,,0
